il,fiyat(TRY),marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,cekisTipi,takasUygunluk,saticiTuru,hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı,fiyat_temiz,km_temiz,yil_temiz,motor_gucu_temiz,motor_hacmi_temiz,arac_yasi,km_per_yas,hasar_skoru,log_fiyat,marka_populerlik,marka_populerlik_log
Bursa,220.000 TL,Peugeot,206,1.4 HDi Feline,341.700 km,2006.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,22.974,0,0,10,3,0,220000,341700.0,2006.0,69.0,1398.0,18.0,18983.333333333332,29.0,12.301387370778713,537,6.2878585601617845
Antalya,360.000 TL,Peugeot,307,1.6 HDi Premium,285.000 km,2006.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,1,2,0,10,360000,285000.0,2006.0,112.0,1560.0,18.0,15833.333333333334,5.0,12.793862088206213,537,6.2878585601617845
Ankara,305.000 TL,Peugeot,206,1.4 XR,256.000 km,2001.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,5,0,8,0,0,305000,256000.0,2001.0,76.0,1360.0,23.0,11130.434782608696,16.0,12.628070334272698,537,6.2878585601617845
Bartın,287.500 TL,Peugeot,206,1.4 X-Line,261.000 km,2005.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,72.000,0,0,0,1,12,287500,261000.0,2005.0,76.0,1360.0,19.0,13736.842105263158,3.0,12.568981617474362,537,6.2878585601617845
İstanbul,570.000 TL,Peugeot,208,1.2 PureTech Active,128.500 km,2016.0,Yarı Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,35.000,1,0,10,0,2,570000,128500.0,2016.0,83.0,1199.0,8.0,16062.5,20.0,13.25339339419516,537,6.2878585601617845
Tekirdağ,585.000 TL,Peugeot,308,1.6 HDi Comfort Pack,186.000 km,2011.0,Otomatik,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,0,4,0,0,9,585000,186000.0,2011.0,112.0,1560.0,13.0,14307.692307692309,4.0,13.279368835614243,537,6.2878585601617845
İzmir,275.000 TL,Peugeot,307,1.4 HDi XR,290.000 km,2004.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,4,0,2,3,4,275000,290000.0,2004.0,69.0,1398.0,20.0,14500.0,13.0,12.524530013005734,537,6.2878585601617845
Kırklareli,300.000 TL,Peugeot,307,1.4 HDi XR,286.000 km,2003.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Bilinmiyor,Bilinmiyor,Sahibinden,Bilinmiyor,0,1,0,0,12,300000,286000.0,2003.0,100.0,1499.0,21.0,13619.047619047618,1.0,12.611541086966115,537,6.2878585601617845
İstanbul,495.000 TL,Peugeot,207,1.4 Trendy,180.980 km,2009.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,4.865,9,0,4,0,0,495000,180980.0,2009.0,91.0,1360.0,15.0,12065.333333333334,8.0,13.112315061750808,537,6.2878585601617845
Erzurum,475.000 TL,Peugeot,308,1.6 VTi Comfort,175.000 km,2009.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,2,0,0,11,475000,175000.0,2009.0,122.0,1598.0,15.0,11666.666666666666,2.0,13.07107218827772,537,6.2878585601617845
İstanbul,600.000 TL,Peugeot,301,1.6 HDi Active,180.000 km,2017.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,0,0,2,0,11,600000,180000.0,2017.0,93.0,1560.0,7.0,25714.285714285714,4.0,13.304686600863562,537,6.2878585601617845
İstanbul,415.000 TL,Peugeot,207,1.4 Trendy,153.222 km,2011.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,9.200,0,1,2,3,7,415000,153222.0,2011.0,76.0,1360.0,13.0,11786.307692307691,14.0,12.936036208848487,537,6.2878585601617845
Kahramanmaraş,415.000 TL,Peugeot,207,1.4 HDi Trendy,258.000 km,2006.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,10,0,3,0,0,415000,258000.0,2006.0,71.0,1398.0,18.0,14333.333333333334,6.0,12.936036208848487,537,6.2878585601617845
Balıkesir,485.000 TL,Peugeot,308,1.6 HDi Active,257.000 km,2012.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,30.000,0,3,0,0,10,485000,257000.0,2012.0,93.0,1560.0,12.0,21416.666666666668,3.0,13.091906231773164,537,6.2878585601617845
İstanbul,475.000 TL,Peugeot,301,1.2 PureTech Access,165.000 km,2019.0,Düz,Benzin,Sedan,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,6,4,2,1,0,475000,165000.0,2019.0,83.0,1199.0,5.0,33000.0,11.0,13.07107218827772,537,6.2878585601617845
İzmir,745.000 TL,Peugeot,301,1.6 BlueHDI Allure,88.500 km,2018.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,tutarı yok,13,0,0,0,0,745000,88500.0,2018.0,102.0,1560.0,6.0,14750.0,0.0,13.521140839642674,537,6.2878585601617845
Gaziantep,400.000 TL,Peugeot,307,1.6 Comfort,120.000 km,2006.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,11,0,2,0,0,400000,120000.0,2006.0,110.0,1587.0,18.0,6666.666666666667,4.0,12.899222326086994,537,6.2878585601617845
Mersin,495.000 TL,Peugeot,301,1.2 VTi Access,178.500 km,2013.0,Düz,Benzin,Sedan,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,13,0,0,0,0,495000,178500.0,2013.0,73.0,1199.0,11.0,16227.272727272728,0.0,13.112315061750808,537,6.2878585601617845
İstanbul,590.000 TL,Peugeot,301,1.6 HDi Active,165.000 km,2017.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,tutarı yok,0,0,2,0,11,590000,165000.0,2017.0,93.0,1560.0,7.0,23571.428571428572,4.0,13.28787951079572,537,6.2878585601617845
Bitlis,340.000 TL,Peugeot,207,1.4 HDi Trendy,268.000 km,2007.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,6,4,1,2,0,340000,268000.0,2007.0,71.0,1398.0,17.0,15764.70588235294,12.0,12.73670383776449,537,6.2878585601617845
İstanbul,280.000 TL,Peugeot,307,1.6 HDi Comfort,393.000 km,2006.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,12.000,8,0,5,0,0,280000,393000.0,2006.0,91.0,1560.0,18.0,21833.333333333332,10.0,12.54254845357358,537,6.2878585601617845
İstanbul,235.000 TL,Peugeot,206,1.4 HDi Desire,312.000 km,2004.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,tutarı belirtilmemiş,0,0,9,0,4,235000,312000.0,2004.0,71.0,1398.0,20.0,15600.0,18.0,12.367345048436391,537,6.2878585601617845
Ankara,550.000 TL,Peugeot,308,1.6 THP Premium Pack,121.000 km,2008.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,tutarı yok,13,0,0,0,0,550000,121000.0,2008.0,152.0,1598.0,16.0,7562.5,0.0,13.217675375388819,537,6.2878585601617845
İzmir,300.000 TL,Peugeot,206,1.4 X-Line,221.806 km,2004.0,Düz,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,11.958,0,0,0,3,10,300000,221806.0,2004.0,76.0,1360.0,20.0,11090.3,9.0,12.611541086966115,537,6.2878585601617845
Malatya,585.000 TL,Peugeot,301,1.6 HDi Active,231.000 km,2016.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,0,2,0,0,11,585000,231000.0,2016.0,93.0,1560.0,8.0,28875.0,2.0,13.279368835614243,537,6.2878585601617845
İstanbul,335.000 TL,Peugeot,301,1.6 HDi Active,378.000 km,2017.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,0,0,0,1,12,335000,378000.0,2017.0,93.0,1560.0,7.0,54000.0,3.0,12.721888795877375,537,6.2878585601617845
Ankara,450.000 TL,Peugeot,307,1.6 XR,280.000 km,2003.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,2,0,11,450000,280000.0,2003.0,110.0,1587.0,21.0,13333.333333333334,4.0,13.017005083966255,537,6.2878585601617845
Mardin,628.000 TL,Peugeot,208,1.2 PureTech Access,133.000 km,2015.0,Düz,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,tutarı yok,13,0,0,0,0,628000,133000.0,2015.0,83.0,1199.0,9.0,14777.777777777777,0.0,13.350297037805756,537,6.2878585601617845
İstanbul,385.000 TL,Peugeot,308,1.6 VTi Comfort,155.000 km,2009.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,3,2,8,385000,155000.0,2009.0,122.0,1598.0,15.0,10333.333333333334,12.0,12.861001210669146,537,6.2878585601617845
Kahramanmaraş,250.000 TL,Peugeot,306,1.6 Platinum,237.500 km,2001.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,0,0,0,2,1,10,250000,237500.0,2001.0,99.0,1587.0,23.0,10326.08695652174,7.0,12.429220196836383,537,6.2878585601617845
Bingöl,540.000 TL,Peugeot,308,1.6 HDi Active,233.000 km,2012.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,tutarı yok,13,0,0,0,0,540000,233000.0,2012.0,93.0,1560.0,12.0,19416.666666666668,0.0,13.199326270390594,537,6.2878585601617845
Bursa,420.000 TL,Peugeot,307,1.6 Pack,160.000 km,2004.0,Otomatik,LPG & Benzin,Station wagon,Bilinmiyor,Bilinmiyor,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,6,0,7,420000,160000.0,2004.0,100.0,1499.0,20.0,8000.0,12.0,12.948012371209098,537,6.2878585601617845
İstanbul,258.000 TL,Peugeot,206,1.4 HDi X-Design,307.000 km,2006.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,1.000,8,0,2,3,0,258000,307000.0,2006.0,69.0,1398.0,18.0,17055.555555555555,13.0,12.460718739865236,537,6.2878585601617845
Ankara,495.000 TL,Peugeot,107,1.0 Urban Move,191.500 km,2011.0,Yarı Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,1,0,0,12,495000,191500.0,2011.0,69.0,998.0,13.0,14730.76923076923,1.0,13.112315061750808,537,6.2878585601617845
Kocaeli,345.000 TL,Peugeot,206,1.4 XR,150.000 km,2000.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,tutarı belirtilmemiş,0,0,0,2,11,345000,150000.0,2000.0,76.0,1360.0,24.0,6250.0,6.0,12.75130259456002,537,6.2878585601617845
Kocaeli,200.000 TL,Peugeot,106,XR,332.000 km,1999.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,tutarı belirtilmemiş,12,0,0,1,0,200000,332000.0,1999.0,76.0,1360.0,25.0,13280.0,3.0,12.206077645517674,537,6.2878585601617845
Çanakkale,620.000 TL,Peugeot,508,1.6 THP Active,186.000 km,2012.0,Düz,Benzin,Sedan,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,43.440,11,0,0,2,0,620000,186000.0,2012.0,158.0,1598.0,12.0,15500.0,6.0,13.3374763699232,537,6.2878585601617845
