il,fiyat(TRY),marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,cekisTipi,takasUygunluk,saticiTuru,hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı,fiyat_temiz,km_temiz,yil_temiz,motor_gucu_temiz,motor_hacmi_temiz,arac_yasi,km_per_yas,hasar_skoru,log_fiyat,marka_populerlik,marka_populerlik_log
İstanbul,1.969.900 TL,BMW,5 Serisi,525d xDrive Executive M Sport,152.700 km,2015.0,Otomatik,Dizel,Sedan,Bilinmiyor,4WD (Sürekli),Takasa Uygun,Galeriden,19.000,0,0,3,1,9,1969900,152700.0,2015.0,218.0,1995.0,9.0,16966.666666666668,9.0,14.4934938456443,557,6.324358962381311
İstanbul,1.169.000 TL,BMW,3 Serisi,320i ED Luxury Line,188.500 km,2013.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Sahibinden,29.350,0,2,1,1,9,1169000,188500.0,2013.0,170.0,1598.0,11.0,17136.363636363636,7.0,13.971660095885833,557,6.324358962381311
Düzce,1.370.000 TL,BMW,3 Serisi,316i M Sport,161.000 km,2015.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,1370000,161000.0,2015.0,136.0,1598.0,9.0,17888.88888888889,0.0,14.130322027731049,557,6.324358962381311
İzmir,1.495.000 TL,BMW,5 Serisi,520d Premium,156.986 km,2012.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Galeriden,1.250,8,5,0,0,0,1495000,156986.0,2012.0,184.0,1995.0,12.0,13082.166666666666,5.0,14.217637433703022,557,6.324358962381311
İstanbul,1.030.000 TL,BMW,1 Serisi,118i One Edition,166.000 km,2015.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,9,0,3,1,0,1030000,166000.0,2015.0,136.0,1499.0,9.0,18444.444444444445,9.0,13.845070331079134,557,6.324358962381311
İstanbul,2.050.000 TL,BMW,5 Serisi,520i Comfort Plus,144.080 km,2018.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,12,0,0,1,0,2050000,144080.0,2018.0,170.0,1597.0,6.0,24013.333333333332,3.0,14.53335083891935,557,6.324358962381311
Mersin,1.269.000 TL,BMW,3 Serisi,320i ED Luxury Line,130.862 km,2013.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1269000,130862.0,2013.0,163.0,1500.5,11.0,11896.545454545454,0.0,14.053740534718278,557,6.324358962381311
Kahramanmaraş,485.000 TL,BMW,3 Serisi,320i,270.350 km,1998.0,Düz,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,0,0,12,1,0,485000,270350.0,1998.0,138.0,1900.5,26.0,10398.076923076924,27.0,13.091906231773164,557,6.324358962381311
Kocaeli,1.645.000 TL,BMW,5 Serisi,520i Executive,121.000 km,2016.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,10,3,0,0,0,1645000,121000.0,2016.0,170.0,1592.0,8.0,15125.0,3.0,14.31325155008416,557,6.324358962381311
Adana,3.175.000 TL,BMW,4 Serisi,428i xDrive M Sport,130.000 km,2013.0,Otomatik,Benzin,Coupe,Bilinmiyor,4WD (Sürekli),Takasa Uygun,Galeriden,tutarı belirtilmemiş,0,0,0,0,13,3175000,130000.0,2013.0,245.0,1997.0,11.0,11818.181818181818,0.0,14.97081850526951,557,6.324358962381311
İstanbul,685.000 TL,BMW,3 Serisi,320d Standart,500.000 km,2010.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,685000,500000.0,2010.0,177.0,1995.0,14.0,35714.28571428572,0.0,13.437175577097312,557,6.324358962381311
İzmir,1.650.000 TL,BMW,5 Serisi,520i Comfort,215.000 km,2016.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,1650000,215000.0,2016.0,170.0,1592.0,8.0,26875.0,0.0,14.316286451937186,557,6.324358962381311
Samsun,465.000 TL,BMW,1 Serisi,116i Standart,210.000 km,2006.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,465000,210000.0,2006.0,115.0,1596.0,18.0,11666.666666666666,0.0,13.049794835104816,557,6.324358962381311
İstanbul,1.325.000 TL,BMW,3 Serisi,320i ED Sport Line,124.000 km,2015.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,6,1,4,2,0,1325000,124000.0,2015.0,163.0,1500.5,9.0,13777.777777777777,15.0,14.096923772119156,557,6.324358962381311
Eskişehir,2.850.000 TL,BMW,7 Serisi,730d Long Exclusive,220.000 km,2011.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,2850000,220000.0,2011.0,245.0,2993.0,13.0,16923.076923076922,0.0,14.862829903121964,557,6.324358962381311
İstanbul,2.129.000 TL,BMW,3 Serisi,320i First Edition Luxury Line,109.000 km,2021.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,12,0,1,0,0,2129000,109000.0,2021.0,163.0,1500.5,3.0,36333.333333333336,2.0,14.571163413579592,557,6.324358962381311
Osmaniye,2.475.000 TL,BMW,5 Serisi,530i xDrive Luxury Line,178.000 km,2017.0,Otomatik,Benzin,Sedan,Bilinmiyor,4WD (Sürekli),Takasa Uygun,Galeriden,55.000,11,0,2,0,0,2475000,178000.0,2017.0,252.0,1998.0,7.0,25428.571428571428,4.0,14.72175135802525,557,6.324358962381311
Eskişehir,989.000 TL,BMW,1 Serisi,116i Sport Line,125.000 km,2012.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,12,0,1,0,0,989000,125000.0,2012.0,136.0,1598.0,12.0,10416.666666666666,2.0,13.804450621726684,557,6.324358962381311
İstanbul,850.000 TL,BMW,1 Serisi,116i Standart,150.000 km,2008.0,Otomatik,Benzin,Hatchback/3,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,850000,150000.0,2008.0,116.0,1597.0,16.0,9375.0,0.0,13.652992804936396,557,6.324358962381311
Kocaeli,1.079.000 TL,BMW,5 Serisi,520d M Sport,345.000 km,2012.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,3,0,9,1,0,1079000,345000.0,2012.0,184.0,1995.0,12.0,28750.0,21.0,13.8915461710239,557,6.324358962381311
Antalya,450.000 TL,BMW,3 Serisi,316i Compact,294.280 km,1996.0,Otomatik,LPG & Benzin,Hatchback/3,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Bilinmiyor,tutarı belirtilmemiş,13,0,0,0,0,450000,294280.0,1996.0,113.0,1700.5,28.0,10510.0,0.0,13.017005083966255,557,6.324358962381311
Mersin,1.400.000 TL,BMW,3 Serisi,320i ED Modern Line,130.000 km,2014.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,20.600,11,2,0,0,0,1400000,130000.0,2014.0,170.0,1598.0,10.0,13000.0,2.0,14.151983508870947,557,6.324358962381311
Kayseri,1.399.000 TL,BMW,5 Serisi,520d Comfort,230.000 km,2012.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,1399000,230000.0,2012.0,184.0,1995.0,12.0,19166.666666666668,0.0,14.151268968443645,557,6.324358962381311
İzmir,3.470.000 TL,BMW,3 Serisi,320i Edition M Sport,13.000 km,2023.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,3470000,13000.0,2023.0,170.0,1597.0,1.0,13000.0,0.0,15.05966544010744,557,6.324358962381311
Antalya,1.045.000 TL,BMW,5 Serisi,520d M Sport,269.000 km,2008.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,9,0,4,0,0,1045000,269000.0,2008.0,188.0,1900.5,16.0,16812.5,8.0,13.85952840031839,557,6.324358962381311
Mersin,4.920.000 TL,BMW,5 Serisi,520i M Sport,14.900 km,2024.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,4920000,14900.0,2024.0,188.0,1500.5,0.0,14900.0,0.0,15.408819291720503,557,6.324358962381311
İzmir,1.042.500 TL,BMW,5 Serisi,520d M Sport,289.000 km,2009.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,7,0,6,0,0,1042500,289000.0,2009.0,188.0,1900.5,15.0,19266.666666666668,12.0,13.857133191887247,557,6.324358962381311
Bursa,525.000 TL,BMW,3 Serisi,318i Standart,240.000 km,2001.0,Otomatik,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,2,0,10,1,0,525000,240000.0,2001.0,118.0,1895.0,23.0,10434.782608695652,23.0,13.171155446333852,557,6.324358962381311
Diyarbakır,1.400.000 TL,BMW,3 Serisi,320i ED Sport Line,191.000 km,2015.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1400000,191000.0,2015.0,163.0,1500.5,9.0,21222.222222222223,0.0,14.151983508870947,557,6.324358962381311
İzmir,1.450.000 TL,BMW,3 Serisi,320i ED 40th Year Edition,210.000 km,2015.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,6,1,4,2,0,1450000,210000.0,2015.0,163.0,1500.5,9.0,23333.333333333332,15.0,14.187074804051692,557,6.324358962381311
İzmir,1.250.000 TL,BMW,3 Serisi,320d M Sport,270.000 km,2013.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,13,0,0,0,0,1250000,270000.0,2013.0,184.0,1995.0,11.0,24545.454545454544,0.0,14.038654909278163,557,6.324358962381311
İstanbul,780.000 TL,BMW,1 Serisi,116i Comfort,115.000 km,2011.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,tutarı yok,13,0,0,0,0,780000,115000.0,2011.0,116.0,1596.0,13.0,8846.153846153846,0.0,13.567050480716235,557,6.324358962381311
Kayseri,525.000 TL,BMW,3 Serisi,320d Standart,416.000 km,2005.0,Düz,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,4.300,0,0,0,0,13,525000,416000.0,2005.0,150.0,1995.0,19.0,21894.736842105263,0.0,13.171155446333852,557,6.324358962381311
İstanbul,700.000 TL,BMW,3 Serisi,320i,213.000 km,2008.0,Otomatik,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,7,0,2,1,3,700000,213000.0,2008.0,170.0,1995.0,16.0,13312.5,7.0,13.45883704259595,557,6.324358962381311
İstanbul,395.000 TL,BMW,3 Serisi,316i Compact,290.000 km,2000.0,Düz,LPG & Benzin,Hatchback/3,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Sahibinden,tutarı yok,12,1,0,0,0,395000,290000.0,2000.0,105.0,1895.0,24.0,12083.333333333334,1.0,12.886643575525625,557,6.324358962381311
İstanbul,455.000 TL,BMW,3 Serisi,320d Standart,300.000 km,2001.0,Düz,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,2,0,1,10,455000,300000.0,2001.0,150.0,1995.0,23.0,13043.478260869566,5.0,13.02805489573287,557,6.324358962381311
Adana,710.000 TL,BMW,3 Serisi,320d Premium,403.000 km,2010.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bu araç ağır hasar kayııdır.,9,1,1,0,2,710000,403000.0,2010.0,177.0,1995.0,14.0,28785.714285714286,3.0,13.47302165746721,557,6.324358962381311
İzmir,695.000 TL,BMW,1 Serisi,116d ED EfficientDynamics,255.000 km,2014.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,0,0,2,2,9,695000,255000.0,2014.0,116.0,1598.0,10.0,25500.0,10.0,13.451668563394815,557,6.324358962381311
Manisa,510.000 TL,BMW,3 Serisi,316i Standart,330.000 km,2005.0,Düz,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,tutarı yok,0,2,0,0,11,510000,330000.0,2005.0,115.0,1596.0,19.0,17368.42105263158,2.0,13.1421679654829,557,6.324358962381311
Kayseri,550.000 TL,BMW,3 Serisi,320d Standart,318.000 km,2003.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Sahibinden,27.700,0,0,5,1,7,550000,318000.0,2003.0,150.0,1995.0,21.0,15142.857142857143,13.0,13.217675375388819,557,6.324358962381311
Bursa,755.000 TL,BMW,5 Serisi,520d Standart,389.000 km,2006.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,1,0,11,1,0,755000,389000.0,2006.0,163.0,1995.0,18.0,21611.11111111111,25.0,13.534474352733596,557,6.324358962381311
Gaziantep,705.000 TL,BMW,3 Serisi,316i Standart,146.000 km,2009.0,Düz,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,1.722,0,2,1,1,9,705000,146000.0,2009.0,115.0,1597.0,15.0,9733.333333333334,7.0,13.465954500233115,557,6.324358962381311
İstanbul,358.000 TL,BMW,3 Serisi,316ti Compact,300.000 km,2003.0,Düz,Benzin,Hatchback/3,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Sahibinden,4.600,0,3,2,1,7,358000,300000.0,2003.0,115.0,1596.0,21.0,14285.714285714286,10.0,12.788291058675025,557,6.324358962381311
Tekirdağ,285.000 TL,BMW,3 Serisi,316i Compact,362.000 km,2000.0,Düz,LPG & Benzin,Hatchback/3,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Sahibinden,tutarı yok,0,0,0,0,13,285000,362000.0,2000.0,102.0,1596.0,24.0,15083.333333333334,0.0,12.560247968016562,557,6.324358962381311
Bursa,750.000 TL,BMW,1 Serisi,116d ED Joy Plus,135.500 km,2016.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Bilinmiyor,Bilinmiyor,Sahibinden,Bilinmiyor,9,0,3,1,0,750000,135500.0,2016.0,100.0,1499.0,8.0,16937.5,9.0,13.527829818844937,557,6.324358962381311
Diyarbakır,3.650.000 TL,BMW,5 Serisi,520i 50th Year M Edition,60.000 km,2022.0,Yarı Otomatik,Benzin,Sedan,Bilinmiyor,Bilinmiyor,Bilinmiyor,Sahibinden,Bilinmiyor,13,0,0,0,0,3650000,60000.0,2022.0,100.0,1499.0,2.0,30000.0,0.0,15.11023799953124,557,6.324358962381311
Bursa,500.000 TL,BMW,3 Serisi,320d Standart,330.000 km,2004.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Sahibinden,25.000,0,0,12,1,0,500000,330000.0,2004.0,150.0,1995.0,20.0,16500.0,27.0,13.122365377402328,557,6.324358962381311
Balıkesir,190.000 TL,BMW,5 Serisi,520i Standart,256.000 km,1993.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Bilinmiyor,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,0,0,0,0,13,190000,256000.0,1993.0,100.0,1499.0,31.0,8258.064516129032,0.0,12.154784614286667,557,6.324358962381311
Adana,710.000 TL,BMW,1 Serisi,116i Premium,106.000 km,2011.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,22.000,0,0,6,0,7,710000,106000.0,2011.0,116.0,1596.0,13.0,8153.846153846154,12.0,13.47302165746721,557,6.324358962381311
İstanbul,660.000 TL,BMW,1 Serisi,116i Premium,331.000 km,2010.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,660000,331000.0,2010.0,116.0,1596.0,14.0,23642.85714285714,0.0,13.399996629152975,557,6.324358962381311
Adana,700.000 TL,BMW,3 Serisi,316i Standart,205.000 km,2006.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Sahibinden,46.000,0,1,2,0,10,700000,205000.0,2006.0,115.0,1596.0,18.0,11388.888888888889,5.0,13.45883704259595,557,6.324358962381311
Aydın,700.000 TL,BMW,3 Serisi,316i Comfort,278.000 km,2011.0,Otomatik,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,0,0,1,1,11,700000,278000.0,2011.0,116.0,1596.0,13.0,21384.615384615383,5.0,13.45883704259595,557,6.324358962381311
İstanbul,390.000 TL,BMW,3 Serisi,320d Standart,380.000 km,2005.0,Otomatik,Dizel,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,13,0,0,0,0,390000,380000.0,2005.0,150.0,1995.0,19.0,20000.0,0.0,12.873904582205107,557,6.324358962381311
İstanbul,230.000 TL,BMW,5 Serisi,520i Standart,286.500 km,1990.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Bilinmiyor,Bilinmiyor,0,0,0,0,13,230000,286500.0,1990.0,150.0,1991.0,34.0,8426.470588235294,0.0,12.345838935721968,557,6.324358962381311
Sivas,690.000 TL,BMW,3 Serisi,316i Standart,243.000 km,2008.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,11.000,0,0,4,2,7,690000,243000.0,2008.0,122.0,1597.0,16.0,15187.5,14.0,13.444448325847754,557,6.324358962381311
Edirne,255.000 TL,BMW,3 Serisi,316i Standart,370.000 km,1994.0,Düz,LPG & Benzin,Hatchback/3,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Sahibinden,tutarı yok,10,3,0,0,0,255000,370000.0,1994.0,102.0,1596.0,30.0,12333.333333333334,3.0,12.449022745701502,557,6.324358962381311
İstanbul,700.000 TL,BMW,1 Serisi,116d ED EfficientDynamics,223.000 km,2014.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,305.000,0,1,2,0,10,700000,223000.0,2014.0,116.0,1598.0,10.0,22300.0,5.0,13.45883704259595,557,6.324358962381311
Ankara,575.000 TL,BMW,5 Serisi,520i Business,361.500 km,1997.0,Otomatik,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,4,0,9,575000,361500.0,1997.0,150.0,1991.0,27.0,13388.888888888889,8.0,13.26212705890841,557,6.324358962381311
Gaziantep,500.000 TL,BMW,3 Serisi,318i Standart,233.000 km,2002.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,17.000,0,0,0,0,13,500000,233000.0,2002.0,143.0,1995.0,22.0,10590.90909090909,0.0,13.122365377402328,557,6.324358962381311
Konya,605.000 TL,BMW,3 Serisi,320i,375.000 km,2006.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,68.250,0,0,8,4,1,605000,375000.0,2006.0,150.0,1995.0,18.0,20833.333333333332,28.0,13.312985389904174,557,6.324358962381311
Ankara,455.000 TL,BMW,1 Serisi,116i Standart,304.000 km,2005.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,18.000,3,1,3,2,4,455000,304000.0,2005.0,115.0,1596.0,19.0,16000.0,13.0,13.02805489573287,557,6.324358962381311
Bursa,335.000 TL,BMW,3 Serisi,320i,385.000 km,1993.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,1,0,12,0,0,335000,385000.0,1993.0,150.0,1991.0,31.0,12419.354838709678,24.0,12.721888795877375,557,6.324358962381311
Antalya,480.000 TL,BMW,1 Serisi,116i Standart,210.000 km,2005.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Sahibinden,14.000,8,2,2,1,0,480000,210000.0,2005.0,115.0,1596.0,19.0,11052.631578947368,9.0,13.081543466215237,557,6.324358962381311
Sinop,1.415.500 TL,BMW,5 Serisi,520i Premium,190.000 km,2014.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,10,3,0,0,0,1415500,190000.0,2014.0,170.0,1592.0,10.0,19000.0,3.0,14.162994089997989,557,6.324358962381311
İzmir,1.145.000 TL,BMW,3 Serisi,320i ED Sport Line,260.000 km,2013.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,1145000,260000.0,2013.0,170.0,1598.0,11.0,23636.363636363636,0.0,13.95091606833254,557,6.324358962381311
Kayseri,975.000 TL,BMW,3 Serisi,316i Modern Line,280.000 km,2013.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,975000,280000.0,2013.0,136.0,1598.0,11.0,25454.545454545456,0.0,13.790193775620484,557,6.324358962381311
Hatay,1.385.000 TL,BMW,5 Serisi,520i Executive,302.000 km,2016.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,9,2,1,1,0,1385000,302000.0,2016.0,170.0,1592.0,8.0,37750.0,7.0,14.141211419624977,557,6.324358962381311
İstanbul,3.350.000 TL,BMW,5 Serisi,520i 50th Year M Edition,22.500 km,2022.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,12,0,1,0,0,3350000,22500.0,2022.0,188.0,1700.5,2.0,11250.0,2.0,15.024471202308668,557,6.324358962381311
İzmir,3.100.000 TL,BMW,4 Serisi,420i Edition M Sport,21.200 km,2020.0,Otomatik,Benzin,Coupe,Siyah,Arkadan İtiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,13,0,0,0,0,3100000,21200.0,2020.0,170.0,1597.0,4.0,5300.0,0.0,14.946912992035967,557,6.324358962381311
İzmir,1.925.000 TL,BMW,5 Serisi,520i Executive Plus,90.000 km,2016.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,1925000,90000.0,2016.0,170.0,1592.0,8.0,11250.0,0.0,14.470437045184406,557,6.324358962381311
Ankara,1.870.000 TL,BMW,1 Serisi,116d First Edition M Sport,36.000 km,2020.0,Otomatik,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,13,0,0,0,0,1870000,36000.0,2020.0,116.0,1496.0,4.0,9000.0,0.0,14.441449523589984,557,6.324358962381311
Antalya,660.000 TL,BMW,3 Serisi,316i Standart,380.000 km,2009.0,Düz,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,1,0,12,660000,380000.0,2009.0,115.0,1597.0,15.0,25333.333333333332,2.0,13.399996629152975,557,6.324358962381311
İstanbul,1.760.000 TL,BMW,5 Serisi,520i Executive Luxury Line,169.000 km,2016.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,112.000,0,0,0,0,13,1760000,169000.0,2016.0,170.0,1592.0,8.0,21125.0,0.0,14.38082493519599,557,6.324358962381311
İzmir,1.175.000 TL,BMW,3 Serisi,316i M Sport,197.000 km,2015.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,tutarı yok,0,1,2,0,10,1175000,197000.0,2015.0,136.0,1598.0,9.0,21888.88888888889,5.0,13.976779556623864,557,6.324358962381311
İstanbul,990.000 TL,BMW,3 Serisi,316i Modern Line,229.000 km,2013.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,12,1,0,0,0,990000,229000.0,2013.0,136.0,1598.0,11.0,20818.18181818182,1.0,13.805461232211272,557,6.324358962381311
Ankara,749.000 TL,BMW,1 Serisi,116i Premium,258.000 km,2009.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,12,1,0,0,0,749000,258000.0,2009.0,116.0,1596.0,15.0,17200.0,1.0,13.52649559761195,557,6.324358962381311
Kütahya,855.000 TL,BMW,1 Serisi,116i Comfort,160.000 km,2012.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,855000,160000.0,2012.0,136.0,1598.0,12.0,13333.333333333334,0.0,13.658857917508856,557,6.324358962381311
Muğla,1.475.000 TL,BMW,3 Serisi,320i ED Sport Line,145.500 km,2015.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1475000,145500.0,2015.0,163.0,1500.5,9.0,16166.666666666666,0.0,14.204169225721929,557,6.324358962381311
İzmir,6.200.000 TL,BMW,7 Serisi,730i Long Pure Excellence,81.000 km,2018.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,6200000,81000.0,2018.0,258.0,1998.0,6.0,13500.0,0.0,15.64006001130563,557,6.324358962381311
Eskişehir,254.000 TL,BMW,5 Serisi,520i Standart,390.000 km,1998.0,Düz,LPG & Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,Bilinmiyor,13,0,0,0,0,254000,390000.0,1998.0,150.0,1991.0,26.0,15000.0,0.0,12.445093483000798,557,6.324358962381311
Antalya,2.290.000 TL,BMW,5 Serisi,530i M Sport,180.000 km,2017.0,Otomatik,Benzin,Sedan,Bilinmiyor,Arkadan İtiş,Takasa Uygun,Galeriden,tutarı belirtilmemiş,9,1,0,3,0,2290000,180000.0,2017.0,252.0,1998.0,7.0,25714.285714285714,10.0,14.64406281221155,557,6.324358962381311
